canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
P-617416,2025-09,Coal,Jharkhand,Ministry of Coal,3,39,0,0.0,0.0,6.0,-6.0,,,,,,,,2.41025641025641,0,0,0,90,0,0,0,0,0,1,1,1,1,1,1
P-617416,2025-10,Coal,Jharkhand,Ministry of Coal,4,38,0,0.0,0.0,8.0,-8.0,2.0,,,0.0,,,,2.4210526315789473,0,0,0,90,0,0,0,0,0,1,1,1,1,1,1
P-617422,2025-09,Telecommunication,Maharashtra,"Department of Water Resources, River Development & GR",280,22,0,0.0,92.0116851456225,49.0,43.011685145622494,,,,,,,,2.3181818181818183,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617422,2025-10,Telecommunication,Maharashtra,"Department of Water Resources, River Development & GR",281,21,0,0.0,92.0116851456225,49.0,43.011685145622494,0.0,,,0.0,,,,2.4285714285714284,1,0,0,94,0,0,0,0,0,1,1,1,1,1,1
P-617730,2025-10,Electricity Generation,Gujarat,Ministry of Coal,26,8,0,0.0,19.98441176911432,17.0,2.9844117691143204,,,,,,,,10.375,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617801,2025-10,Electricity Generation,Gujarat,Ministry of Power,7,17,3,0.0,0.03437961976140544,0.0,0.03437961976140544,,,,,,,,5.882352941176471,0,0,0,98,0,0,1,0,0,1,1,1,1,1,1
P-617802,2025-10,Electricity Generation,Madhya Pradesh,Ministry of Power,0,29,0,0.0,0.03134796238244514,0.0,0.03134796238244514,,,,,,,,3.4482758620689653,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617803,2025-10,Electricity Generation,Karnataka,Ministry of Power,1,23,0,0.0,1.7414248021108178,0.0,1.7414248021108178,,,,,,,,4.3478260869565215,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617804,2025-10,Shipping,Karnataka,"Ministry of Ports, Shipping and Waterways",16,17,0,0.0,32.695947268811594,33.0,-0.30405273118840626,,,,,,,,3.9411764705882355,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-701101,2025-01,CIVIL AVIATION,Bihar,Ministry of Civil Aviation,80,5,32,0.0,72.47596351384665,82.1,-9.624036486153344,,,,,,,,3.580000000000001,0,0,0,92,0,0,1,0,0,1,1,1,1,1,1
