canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
P-400043,2025-03,Energy Storage,Tamil Nadu,Ministry of Petroleum & Natural Gas,38,14,22,0.0,28.63329312424608,58.1,-29.46670687575392,0.9500000000000028,,,7.469999999999999,,,,2.992857142857143,0,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400043,2025-04,Energy Storage,Tamil Nadu,Ministry of Petroleum & Natural Gas,39,13,22,0.0,29.59589867310012,58.7,-29.104101326899883,0.6000000000000014,2.1700000000000017,,7.97999999999999,18.819999999999993,,0.7233333333333339,3.1769230769230767,0,0,0,84,0,0,0,0,0,1,1,1,1,1,1
P-400043,2025-05,Energy Storage,Tamil Nadu,Ministry of Petroleum & Natural Gas,40,12,22,0.0,31.06634499396864,59.44,-28.373655006031356,0.7399999999999949,2.289999999999999,,12.190000000000026,27.640000000000015,,0.7633333333333331,3.3800000000000003,0,0,0,84,0,0,0,0,0,1,1,1,1,1,1
P-400043,2025-06,Energy Storage,Tamil Nadu,Ministry of Petroleum & Natural Gas,41,11,22,0.0,31.300361881785282,60.16,-28.859638118214715,0.7199999999999989,2.059999999999995,,1.9399999999999977,22.110000000000014,,0.6866666666666651,3.621818181818182,0,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400043,2025-07,Energy Storage,Tamil Nadu,Ministry of Petroleum & Natural Gas,42,10,0,0.0,35.91917973462002,62.0,-26.080820265379977,1.8400000000000034,3.299999999999997,5.469999999999999,38.289999999999964,52.41999999999999,71.23999999999998,1.099999999999999,3.8,0,0,0,82,0,0,0,0,0,1,1,1,1,1,1
P-400043,2025-08,Energy Storage,Tamil Nadu,Ministry of Petroleum & Natural Gas,43,9,0,0.0,36.39445114595898,63.0,-26.605548854041018,1.0,3.5600000000000023,5.850000000000001,3.9399999999999977,44.16999999999996,71.80999999999997,1.1866666666666674,4.111111111111111,0,0,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400043,2025-09,Energy Storage,Tamil Nadu,Ministry of Petroleum & Natural Gas,44,8,0,0.0,38.6767189384801,66.0,-27.3232810615199,3.0,5.840000000000003,7.899999999999999,18.920000000000016,61.14999999999998,83.25999999999999,1.9466666666666679,4.25,0,0,0,82,0,0,0,0,0,1,1,1,1,1,1
P-400043,2025-10,Energy Storage,Tamil Nadu,Ministry of Petroleum & Natural Gas,45,7,0,0.0,39.54885404101327,67.0,-27.45114595898673,1.0,5.0,8.299999999999997,7.230000000000018,30.090000000000032,82.51000000000002,1.6666666666666667,4.714285714285714,0,0,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400045,2025-07,Railways,Odisha,Ministry of Railways,36,-6,-2,0.0,41.498336501901136,82.0,-40.501663498098864,,,,,,,,18.0,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-400045,2025-08,Railways,Odisha,Ministry of Railways,36,-7,-2,0.0,41.498336501901136,82.0,-40.501663498098864,0.0,,,0.0,,,,18.0,1,0,0,94,0,0,0,0,0,1,1,1,1,1,1
P-400045,2025-09,Railways,Odisha,Ministry of Railways,37,-8,-2,0.0,41.498336501901136,82.0,-40.501663498098864,0.0,,,0.0,,,,18.0,2,0,0,86,0,0,0,0,0,1,1,1,1,1,1
P-400045,2025-10,Railways,Odisha,Ministry of Railways,38,-9,-2,0.0,41.498336501901136,82.0,-40.501663498098864,0.0,0.0,,0.0,0.0,,0.0,18.0,3,0,0,94,0,0,0,0,0,1,1,1,1,1,1
P-400062,2025-07,Electricity Generation,West Bengal,Ministry of Power,5,47,0,0.0,6.697787585582527,1.0,5.697787585582527,,,,,,,,2.106382978723404,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-400062,2025-08,Electricity Generation,West Bengal,Ministry of Power,6,46,0,0.0,6.7487693091156,1.0,5.7487693091156,0.0,,,9.009999999999991,,,,2.152173913043478,1,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-400062,2025-09,Electricity Generation,West Bengal,Ministry of Power,32,45,0,0.0,7.764216601595654,2.0,5.764216601595654,1.0,,,179.46000000000004,,,,2.1777777777777776,0,0,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400062,2025-10,Electricity Generation,West Bengal,Ministry of Power,33,44,0,0.0,7.971481921575284,2.0,5.971481921575284,0.0,1.0,,36.62999999999988,225.0999999999999,,0.3333333333333333,2.227272727272727,1,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-400073,2025-01,Coal,Jharkhand,Ministry of Coal,,86,0,0.0,48.836540145620134,32.0,16.836540145620134,,,,,,,,0.7906976744186046,0,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400073,2025-02,Coal,Jharkhand,Ministry of Coal,37,85,0,0.0,50.35028898841544,32.0,18.350288988415443,0.0,,,12.100000000000023,,,,0.8,1,0,0,84,0,0,0,0,0,1,1,1,1,1,1
P-400073,2025-03,Coal,Jharkhand,Ministry of Coal,,84,0,0.0,50.68681662371456,32.0,18.686816623714563,0.0,,,2.6899999999999977,,,,0.8095238095238095,2,0,0,84,0,0,0,0,0,1,1,1,1,1,1
P-400073,2025-04,Coal,Jharkhand,Ministry of Coal,39,83,0,0.0,52.13426076513123,32.0,20.13426076513123,0.0,0.0,,11.569999999999993,26.360000000000014,,0.0,0.8192771084337349,3,0,0,84,0,0,0,0,0,1,1,1,1,1,1
P-400073,2025-05,Coal,Jharkhand,Ministry of Coal,40,82,0,0.0,52.13426076513123,32.0,20.13426076513123,0.0,0.0,,0.0,14.259999999999991,,0.0,0.8292682926829268,4,0,0,88,0,0,0,0,0,1,1,1,1,1,1
P-400073,2025-06,Coal,Jharkhand,Ministry of Coal,41,81,0,0.0,52.13426076513123,32.0,20.13426076513123,0.0,0.0,,0.0,11.569999999999993,,0.0,0.8395061728395061,5,0,0,88,0,0,0,0,0,1,1,1,1,1,1
P-400073,2025-07,Coal,Jharkhand,Ministry of Coal,42,80,0,0.0,53.313984036830384,46.0,7.313984036830384,14.0,14.0,14.0,9.430000000000007,9.430000000000007,35.79000000000002,4.666666666666667,0.675,0,0,0,74,0,0,0,0,0,1,1,1,1,1,1
P-400073,2025-08,Coal,Jharkhand,Ministry of Coal,43,79,0,0.0,53.04501213501138,45.0,8.045012135011383,-1.0,13.0,13.0,-2.150000000000034,7.279999999999973,21.539999999999964,4.333333333333333,0.6962025316455697,0,0,0,78,0,0,0,0,0,1,1,1,1,1,1
P-400073,2025-09,Coal,Jharkhand,Ministry of Coal,44,78,0,0.0,53.721820501914074,45.0,8.721820501914074,0.0,13.0,13.0,5.410000000000025,12.689999999999998,24.25999999999999,4.333333333333333,0.7051282051282052,1,0,0,82,0,0,0,0,0,1,1,1,1,1,1
P-400073,2025-10,Coal,Jharkhand,Ministry of Coal,45,77,0,0.0,53.750594240248205,45.0,8.750594240248205,0.0,-1.0,13.0,0.22999999999996135,3.4899999999999523,12.919999999999959,-0.3333333333333333,0.7142857142857143,2,0,0,90,0,0,0,0,0,1,1,1,1,1,1
P-400074,2025-05,Coal,Jharkhand,Ministry of Coal,40,46,0,0.0,23.96116547602012,21.0,2.9611654760201205,1.0,1.0,,0.0,36.96000000000001,,0.3333333333333333,1.7173913043478262,0,1,0,92,0,0,0,0,0,1,1,1,1,1,1
