canonical_project_id,first_snapshot,last_snapshot,observed_months,calendar_span_months,coverage_pct,missing_month_count,missing_months
L-N24001817,2025-01,2025-06,6,6,100.0,0,
L-N24001822,2025-01,2025-06,6,6,100.0,0,
L-N24001825,2025-01,2025-06,6,6,100.0,0,
L-N24001828,2025-01,2025-06,6,6,100.0,0,
L-N24001829,2025-01,2025-06,6,6,100.0,0,
L-N24001832,2025-01,2025-06,6,6,100.0,0,
L-N24001833,2025-01,2025-06,6,6,100.0,0,
L-N24001855,2025-01,2025-06,6,6,100.0,0,
L-N24001857,2025-01,2025-06,6,6,100.0,0,
L-N24001863,2025-01,2025-06,6,6,100.0,0,
L-N24001864,2025-01,2025-06,6,6,100.0,0,
L-N24001868,2025-01,2025-06,6,6,100.0,0,
L-N24001869,2025-01,2025-04,4,4,100.0,0,
L-N24001880,2025-01,2025-06,6,6,100.0,0,
L-N24001885,2025-01,2025-06,6,6,100.0,0,
L-N24001886,2025-01,2025-06,6,6,100.0,0,
L-N24001887,2025-01,2025-05,5,5,100.0,0,
L-N24001888,2025-01,2025-05,5,5,100.0,0,
L-N24001889,2025-01,2025-05,5,5,100.0,0,
L-N24001890,2025-01,2025-06,6,6,100.0,0,
L-N24001891,2025-01,2025-06,6,6,100.0,0,
L-N24001892,2025-01,2025-06,6,6,100.0,0,
L-N24001894,2025-01,2025-05,5,5,100.0,0,
L-N24001895,2025-01,2025-05,5,5,100.0,0,
L-N24001896,2025-01,2025-06,6,6,100.0,0,
L-N24001900,2025-01,2025-06,6,6,100.0,0,
L-N24001905,2025-01,2025-05,5,5,100.0,0,
L-N24001906,2025-01,2025-06,6,6,100.0,0,
L-N24001909,2025-01,2025-05,5,5,100.0,0,
L-N24001910,2025-01,2025-06,6,6,100.0,0,
L-N24001911,2025-01,2025-06,6,6,100.0,0,
L-N24001920,2025-01,2025-06,6,6,100.0,0,
L-N24001924,2025-01,2025-06,6,6,100.0,0,
L-N24001929,2025-01,2025-06,6,6,100.0,0,
L-N24001931,2025-01,2025-03,3,3,100.0,0,
L-N24001932,2025-01,2025-06,6,6,100.0,0,
L-N24001935,2025-01,2025-06,6,6,100.0,0,
L-N24001936,2025-01,2025-06,6,6,100.0,0,
L-N24001939,2025-01,2025-06,6,6,100.0,0,
L-N24001943,2025-01,2025-06,6,6,100.0,0,
L-N24001945,2025-01,2025-06,6,6,100.0,0,
L-N24001946,2025-01,2025-06,6,6,100.0,0,
L-N24001947,2025-01,2025-06,6,6,100.0,0,
L-N24001949,2025-01,2025-03,3,3,100.0,0,
L-N24001950,2025-01,2025-03,3,3,100.0,0,
L-N24001952,2025-01,2025-06,6,6,100.0,0,
L-N24001954,2025-01,2025-06,6,6,100.0,0,
L-N24001955,2025-01,2025-06,6,6,100.0,0,
